"","Line","habitat","watering","fertilization","WFtreatment","Plot","origin","SCT_CWM","Mass_CWM","SCP_CWM","Carbon_CWM","CN_CWM","Length_CWM","Starch_CWM","Shape_CWM","Disp_CWM","Texture_CWM","Compact_CWM","PC1_CWM","PC2_CWM","PC3_CWM","PC4_CWM","PC5_CWM","PC6_CWM","PC7_CWM","PC8_CWM","PC9_CWM","PC10_CWM","PC11_CWM","WFtreatment_order"
"179","6b","Harsh","watered","fertilized","WN","100","Non-Native",1.43565286132521,0.65119277940826,-0.648453796927229,0.426496067113691,21.9004444624339,1.74817123926145,0.921875,-1.95471300643562,1.828125,0.721401610951798,2.68012574607185,-3.0206884710041,0.054025595665003,1.16653233802118,0.38136184529043,-0.186467264884078,0.0257331921340564,-1.02199263224075,0.733443508283387,-0.325532952989204,0.601032127806345,0.0409825508117257,"WN"
"180","6b","Harsh","watered","fertilized","WN","100",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WN"
"181","6b","Harsh","watered","fertilized","WN","102","Native",0.0591900346985237,-0.0586787013063631,-0.0473027325417777,0.0206296860713197,0.721465827210322,-0.00445177270479468,0.0441176470588235,-0.179144388291858,0,-0.13111222173927,0.116498069549061,0.0925864586250975,0.0342361961575199,0.077686793147741,-0.04847449855689,-0.0659087369352904,-0.000388875115134326,0.039951053476395,-0.00362999727375298,0.00405572915449058,0.0351511437245293,0.000693593582954471,"WN"
"182","6b","Harsh","watered","fertilized","WN","102","Non-Native",1.68273051129487,1.36526342742838,-1.03592175562901,0.393041192408676,15.7323276973904,1.64681031828008,0.514705882352941,-2.62461913323677,0.632352941176471,-0.863704891555871,2.54039723796506,-1.36385382334169,1.31759301389658,0.0551599300255724,-0.547418942414628,-0.245410085311638,-0.25110187630993,-0.241694755816124,-0.0968705341202241,-0.0973768754822783,-0.214780264848852,-0.194544439878116,"WN"
"183","6b","Harsh","watered","fertilized","WN","102",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WN"
"184","6b","Lush","none","fertilized","N","105B","Native",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"185","6b","Lush","none","fertilized","N","105B","Non-Native",1.62938854570534,0.938524216978211,-0.803821477238866,0.418447344601552,24.0879586558611,1.71996106404663,0.986198243412798,-2.00102468974673,1.90025094102886,0.83992440713474,2.6908614133688,-3.32591364016088,0.427488382934866,1.26025434480041,0.535433869691704,-0.343945365787437,0.326277026640001,-0.941507366600284,0.869786307484902,-0.422390924994869,0.692067907954405,0.143909258731844,"N"
"186","6b","Lush","none","fertilized","N","105B",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"187","6b","Lush","none","fertilized","N","111","Native",0.00588661979542921,0.00224480062522873,-0.00308278357561831,0.00135167106022938,0.046932396181745,0.00213222170625947,0,-0.0115621457478613,0.0015748031496063,-0.00358376417226731,0.00848709662726323,0.00166051336158052,0.00492311038997691,-0.000257694356423302,0.000302608856536446,0.00129689498434734,0.00144549083315867,-0.000457868085759375,-0.00159977979566811,-0.000681659889038992,-0.000384612648062101,0.000115214317475795,"N"
"188","6b","Lush","none","fertilized","N","111","Non-Native",1.67013798974789,1.0227739613687,-0.836676796777482,0.416892905798756,23.9038566754313,1.73513629019447,0.979527559055118,-2.00223164603411,1.84409448818898,0.729738458459793,2.68231265504488,-3.28669540271562,0.523915474505142,1.17805010779242,0.47056143153146,-0.378667701513424,0.303076863043256,-0.871807548136688,0.877192131380575,-0.428064288668197,0.660795058003821,0.139397465840862,"N"
