"IDnum","clean_code","H","L","LH_L","W","area_LW","Perimeter1","Hue","PCof19WL","texture","Rectangularity1","LH_Circle","LW_Circle","Compactness Ellipse","BetaShape_a","BetaShape_b","Saturation","LH_area","Org.Filename","Org.Filename2","shape"
16,"CHLPOM",3.057705,4.387143,4.209884,2.747503,8.970552,10.41392,1.493147,4.282682,0.752484,0.76478,0.5819377,0.598712,0.979855,1.470739,1.227371,8.639252,7.892437,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
22,"ELYELY",0.5317749,4.918917,4.830288,0.7976623,2.831773,10.03725,1.174399,25.16547,2.98704,0.771123,0.08776958,0.1520493,0.9885882,1.732493,1.612869,21.01796,1.592627,"ELYELY_LW_Amy1","ELYELY_LH_Amy1",0.168979818599343
22,"ELYELY",0.6647186,6.20404,6.115411,0.8862914,3.905961,12.7626,1.507465,40.28105,0.7447307,0.7531238,0.08502363,0.1338121,0.9931973,1.557046,1.524689,22.45176,2.490075,"ELYELY_LW_Amy1","ELYELY_LH_Amy1",0.168979818599343
22,"ELYELY",0.8862914,6.071096,6.026782,1.06355,4.948729,12.56318,1.393577,40.40091,0.7397853,0.8056266,0.127043,0.1592361,0.9916283,1.368133,1.329025,25.13472,3.762605,"ELYELY_LW_Amy1","ELYELY_LH_Amy1",0.168979818599343
22,"ELYELY",1.019235,6.469927,6.20404,1.285123,5.600704,13.58242,1.380758,36.1268,1.615362,0.702463,0.136942,0.168477,0.9722589,1.640775,1.55955,26.13277,4.245695,"ELYELY_LW_Amy1","ELYELY_LH_Amy1",0.168979818599343
22,"ELYELY",1.196493,6.248354,6.381298,1.285123,6.128961,13.00633,1.454044,36.71733,1.211835,0.7961735,0.1580134,0.1995442,0.9789634,1.546282,1.301201,22.29949,5.182418,"ELYELY_LW_Amy1","ELYELY_LH_Amy1",0.168979818599343
23,"EPIBRA",0.8862914,2.215729,2.171414,1.240808,1.975564,4.941075,1.152207,12.11156,0.1883837,0.760393,0.3782947,0.5695769,0.9848374,1.795953,1.504472,9.571869,1.34519,"EPIBRA_LW_Amy1","EPIBRA_LH_Amy1",0.0718922368788964
23,"EPIBRA",0.8862914,2.348672,2.348672,1.285123,2.156232,5.251276,1.149849,9.295904,0.1616257,0.7541209,0.3486878,0.5182153,0.9867103,1.764497,1.447409,13.14814,1.476763,"EPIBRA_LW_Amy1","EPIBRA_LH_Amy1",0.0718922368788964
23,"EPIBRA",0.9749206,2.570245,2.348672,1.240808,2.205326,5.650108,1.152989,12.03233,0.6417887,0.7296946,0.3645971,0.4624306,0.975821,2.029038,1.53449,11.96207,1.539604,"EPIBRA_LW_Amy1","EPIBRA_LH_Amy1",0.0718922368788964
23,"EPIBRA",1.019235,2.437301,2.481616,1.285123,2.329045,5.627951,1.128709,11.82923,0.4972807,0.7843915,0.3625139,0.4881754,0.9671686,1.497474,1.186938,11.33403,1.543532,"EPIBRA_LW_Amy1","EPIBRA_LH_Amy1",0.0718922368788964
23,"EPIBRA",0.7976623,2.437301,2.525931,1.285123,2.3369,5.627951,1.153172,11.59331,0.3954334,0.787037,0.3040211,0.512149,0.9831144,1.822949,1.487906,10.58932,1.549423,"EPIBRA_LW_Amy1","EPIBRA_LH_Amy1",0.0718922368788964
